disease,disease_class,detector,sustained_alerts_total,sustained_alerts_outside_window,n_years_covered,alerts_per_year
侵襲性肺炎球菌感染症,全数把握,D_growth,1,1,13,0.077
侵襲性肺炎球菌感染症,全数把握,D_spatial,0,0,13,0.0
侵襲性肺炎球菌感染症,全数把握,combined,16,16,13,1.231
侵襲性髄膜炎菌感染症,全数把握,D_rare,26,26,13,2.0
侵襲性髄膜炎菌感染症,全数把握,D_stat,0,0,13,0.0
侵襲性髄膜炎菌感染症,全数把握,D_growth,0,0,13,0.0
侵襲性髄膜炎菌感染症,全数把握,D_spatial,0,0,13,0.0
侵襲性髄膜炎菌感染症,全数把握,combined,26,26,13,2.0
先天性風しん症候群,全数把握,D_rare,0,0,13,0.0
先天性風しん症候群,全数把握,D_stat,0,0,13,0.0
先天性風しん症候群,全数把握,D_growth,0,0,13,0.0
先天性風しん症候群,全数把握,D_spatial,0,0,13,0.0
先天性風しん症候群,全数把握,combined,0,0,13,0.0
劇症型溶血性レンサ球菌感染症,全数把握,D_rare,11,11,13,0.846
劇症型溶血性レンサ球菌感染症,全数把握,D_stat,12,12,13,0.923
劇症型溶血性レンサ球菌感染症,全数把握,D_growth,0,0,13,0.0
劇症型溶血性レンサ球菌感染症,全数把握,D_spatial,0,0,13,0.0
劇症型溶血性レンサ球菌感染症,全数把握,combined,19,19,13,1.462
南米出血熱,全数把握,D_rare,0,0,13,0.0
南米出血熱,全数把握,D_stat,0,0,13,0.0
南米出血熱,全数把握,D_growth,0,0,13,0.0
南米出血熱,全数把握,D_spatial,0,0,13,0.0
南米出血熱,全数把握,combined,0,0,13,0.0
咽頭結膜熱,sentinel/その他,D_rare,0,0,13,0.0
咽頭結膜熱,sentinel/その他,D_stat,6,6,13,0.462
咽頭結膜熱,sentinel/その他,D_growth,0,0,13,0.0
咽頭結膜熱,sentinel/その他,D_spatial,0,0,13,0.0
咽頭結膜熱,sentinel/その他,combined,6,6,13,0.462
回帰熱,全数把握,D_rare,1,1,13,0.077
回帰熱,全数把握,D_stat,0,0,13,0.0
回帰熱,全数把握,D_growth,0,0,13,0.0
回帰熱,全数把握,D_spatial,0,0,13,0.0
回帰熱,全数把握,combined,1,1,13,0.077
後天性免疫不全症候群,全数把握,D_rare,0,0,13,0.0
後天性免疫不全症候群,全数把握,D_stat,0,0,13,0.0
後天性免疫不全症候群,全数把握,D_growth,0,0,13,0.0
後天性免疫不全症候群,全数把握,D_spatial,0,0,13,0.0
後天性免疫不全症候群,全数把握,combined,0,0,13,0.0
急性出血性結膜炎,sentinel/その他,D_rare,0,0,13,0.0
急性出血性結膜炎,sentinel/その他,D_stat,4,4,13,0.308
急性出血性結膜炎,sentinel/その他,D_growth,0,0,13,0.0
